,db_conformer
BNCI2014_001,0.09894095395207207
BNCI2014_002,0.09969313928748114
BNCI2014_004,0.09995632974945928
BNCI2015_001,0.10099231791588757
BNCI2015_004,0.1531375377412091
AlexMI,0.15233880093164173
